game_age,mean_owners,action,adventure,casual,early_access,free_to_play,indie,massively_multiplayer,rpg,racing,simulation,sports,strategy
7,10000.0,1,0,0,0,0,1,0,1,0,0,0,0
6,10000.0,0,0,1,0,0,0,0,0,0,1,0,1
3,10000.0,1,0,0,1,0,1,0,0,0,0,0,0
4,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
1,35000.0,0,0,1,0,1,0,0,0,0,0,1,1
6,350000.0,1,1,0,0,1,1,0,0,0,0,0,0
0,10000.0,0,1,0,0,0,1,0,1,0,0,0,0
4,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
1,10000.0,0,1,0,0,0,1,0,0,0,1,0,1
4,75000.0,0,0,0,0,0,0,0,1,0,0,0,0
5,35000.0,0,0,0,0,0,0,0,0,0,0,0,1
1,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
5,10000.0,1,1,0,1,0,1,0,0,0,0,0,0
7,35000.0,1,1,1,0,0,1,0,0,1,0,0,0
1,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
5,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,1,1,1,0,1,0,1,0,0,0,0
0,10000.0,1,0,1,0,0,1,0,0,0,0,0,1
0,10000.0,1,0,1,0,0,0,1,0,0,0,0,0
0,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
0,0.0,1,1,0,0,1,0,1,1,0,0,0,0
3,10000.0,0,1,1,0,0,1,0,0,0,1,0,1
3,10000.0,1,1,0,0,0,1,0,1,0,0,0,0
0,10000.0,1,1,0,1,0,0,0,0,0,0,0,0
0,10000.0,1,0,0,1,0,0,1,0,0,0,1,0
1,10000.0,1,1,0,1,0,0,0,0,0,1,0,0
3,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
6,350000.0,0,0,0,0,0,1,0,0,0,1,0,1
5,35000.0,0,1,0,0,0,1,0,0,0,1,0,0
0,0.0,1,1,1,0,0,1,0,1,0,0,0,0
2,35000.0,0,0,0,0,0,0,0,0,1,1,1,0
6,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
4,10000.0,0,1,0,0,0,1,0,0,0,0,0,1
4,35000.0,1,1,0,0,0,1,0,0,0,0,0,0
4,10000.0,1,0,1,0,0,1,0,0,1,0,0,0
2,75000.0,1,0,1,0,0,0,0,0,1,0,0,0
7,10000.0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,10000.0,1,1,1,0,0,1,0,0,0,0,1,0
1,10000.0,1,0,1,0,0,1,0,0,0,0,0,0
1,10000.0,0,0,1,0,0,1,0,0,0,1,0,1
3,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
5,35000.0,1,1,0,0,0,1,0,0,0,0,0,1
5,35000.0,0,0,0,0,0,1,0,0,0,1,0,0
1,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
8,35000.0,1,0,1,0,0,1,0,0,0,0,0,1
1,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
5,75000.0,1,1,0,0,0,1,0,0,0,0,0,0
6,10000.0,0,0,0,0,0,1,0,0,0,1,0,0
5,75000.0,0,1,1,0,0,1,0,0,0,1,0,0
5,10000.0,0,0,1,0,0,1,0,0,0,0,0,1
0,10000.0,0,1,1,0,0,1,0,0,0,0,0,1
1,10000.0,0,1,1,0,0,1,0,0,0,1,0,0
5,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
9,150000.0,1,0,1,0,0,1,0,0,0,0,0,1
0,0.0,1,0,1,0,0,0,0,0,0,0,0,0
5,10000.0,0,0,0,0,0,0,0,0,0,1,1,0
3,350000.0,0,1,1,0,0,1,0,0,0,0,0,1
0,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
4,35000.0,0,1,0,0,0,0,0,1,0,0,0,0
4,350000.0,0,0,0,0,0,0,0,1,0,0,0,0
6,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
4,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
2,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
4,10000.0,0,1,1,0,0,0,0,0,0,0,0,0
1,10000.0,1,0,1,0,0,1,0,0,0,0,0,0
5,75000.0,0,0,0,0,0,0,0,0,0,0,0,1
5,10000.0,0,0,0,0,0,1,0,0,0,0,0,1
1,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
16,35000.0,0,0,0,0,0,0,0,0,1,0,0,0
2,10000.0,1,0,1,0,0,1,0,0,0,0,0,1
1,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,1,1,0,0,1,0,0,0,1,0,1
5,10000.0,1,1,0,0,0,1,0,1,0,1,0,0
5,35000.0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0,0,1,0,0,1,1,0,1,0,0,0,0
1,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
10,750000.0,0,0,1,0,0,1,0,0,0,0,0,1
5,10000.0,1,0,1,0,0,1,0,0,0,0,1,0
1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
7,10000.0,0,0,0,0,0,0,0,0,0,0,0,0
1,35000.0,0,0,1,0,0,1,0,0,0,1,0,0
4,10000.0,0,1,1,0,0,0,0,0,0,0,0,1
0,10000.0,1,0,1,1,0,1,0,0,0,1,0,0
7,35000.0,1,0,1,0,0,1,0,0,0,0,0,0
4,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
3,750000.0,0,0,0,0,0,1,0,0,0,1,0,0
0,10000.0,1,0,1,1,0,1,0,0,0,0,0,0
0,10000.0,0,0,1,1,0,1,0,0,0,0,0,0
6,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
5,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
6,35000.0,1,1,1,0,0,1,0,0,0,0,0,0
3,10000.0,0,0,0,0,0,0,0,1,0,0,0,1
12,10000.0,0,1,1,0,0,0,0,0,0,0,0,0
5,10000.0,0,1,0,0,0,1,0,1,0,0,0,0
3,10000.0,1,1,0,1,0,1,0,0,0,0,0,0
0,0.0,0,1,0,0,1,1,0,1,0,0,0,0
0,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
5,10000.0,1,1,1,0,0,1,0,1,0,0,1,0
1,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
4,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
2,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
1,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
3,10000.0,0,1,0,0,1,1,0,0,0,0,0,0
4,10000.0,0,1,0,0,1,0,0,0,0,0,0,0
1,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
1,10000.0,0,0,1,0,0,1,0,0,0,1,0,0
2,10000.0,1,1,0,0,0,1,0,0,0,0,0,1
6,10000.0,0,1,1,0,0,0,0,0,0,1,0,1
5,10000.0,1,0,0,1,0,1,0,0,0,0,0,0
1,10000.0,1,1,0,1,0,1,0,0,0,0,0,0
2,10000.0,0,1,0,0,0,0,0,0,1,0,0,0
1,10000.0,0,1,1,0,0,1,0,0,0,1,0,0
7,350000.0,1,0,0,0,0,1,0,0,0,0,0,0
1,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
4,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
1,10000.0,0,0,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
0,10000.0,1,0,1,0,0,1,0,0,0,1,0,1
3,75000.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0,1,0,1,1,1,1,1,0,0,0,0,0
6,10000.0,0,1,1,0,0,0,0,0,0,0,0,0
2,10000.0,0,1,0,0,0,1,0,1,0,0,0,1
4,10000.0,1,0,1,0,0,1,0,0,0,0,0,0
0,10000.0,0,0,0,0,0,0,0,0,0,1,0,0
13,75000.0,0,0,0,0,0,1,0,1,0,0,0,1
4,35000.0,0,1,0,0,0,0,0,1,0,0,0,1
2,10000.0,0,1,1,0,0,0,0,0,0,0,0,1
10,150000.0,0,1,0,0,0,1,0,0,0,0,0,0
5,10000.0,0,0,1,0,0,1,0,0,0,0,1,0
3,10000.0,1,0,0,1,0,1,0,0,0,0,0,0
1,10000.0,1,0,0,0,0,1,0,0,1,0,0,0
10,35000.0,1,0,0,0,0,1,0,0,0,0,0,0
5,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
0,10000.0,0,0,0,0,0,1,1,0,0,1,0,1
6,10000.0,0,0,1,1,0,1,0,0,1,0,0,0
2,10000.0,1,1,0,0,0,1,0,0,0,0,0,1
4,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
6,10000.0,1,0,1,0,0,1,0,0,0,1,0,0
0,0.0,0,0,1,0,1,1,0,0,0,1,0,0
5,75000.0,1,0,1,0,0,0,0,0,0,0,0,0
5,35000.0,0,0,0,0,1,1,0,1,0,0,0,0
5,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
2,75000.0,0,0,0,0,1,1,1,1,0,0,0,0
1,10000.0,0,0,1,0,0,1,0,0,1,0,1,0
2,10000.0,1,0,1,0,0,1,0,0,0,0,0,0
4,35000.0,0,0,0,0,1,0,0,0,0,1,0,0
1,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
1,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
3,10000.0,0,0,0,0,0,1,0,0,0,0,0,1
1,10000.0,1,1,1,0,0,1,0,0,0,0,0,1
0,10000.0,0,0,1,0,0,1,0,0,0,1,0,0
7,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
8,750000.0,1,1,0,0,0,1,0,0,0,0,0,0
2,10000.0,1,0,0,0,0,0,0,0,0,0,0,0
7,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
6,35000.0,0,0,1,0,0,0,0,0,0,1,0,1
7,350000.0,0,0,0,0,0,0,0,0,0,0,0,0
1,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
0,0.0,1,1,0,0,0,1,0,0,0,0,0,0
4,10000.0,0,0,1,0,0,1,0,0,0,1,0,0
6,75000.0,0,1,0,0,0,1,0,0,0,1,0,0
0,10000.0,0,0,1,0,1,1,0,1,0,0,0,0
14,10000.0,0,0,1,0,0,0,0,0,0,1,0,0
0,10000.0,0,0,1,0,0,1,0,0,0,0,0,1
6,10000.0,0,1,1,0,0,0,0,0,0,1,0,1
9,150000.0,0,0,0,0,0,1,0,1,0,0,0,1
5,35000.0,0,0,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
5,350000.0,0,0,1,0,0,1,0,0,0,0,0,0
6,35000.0,0,0,0,0,0,0,0,0,0,0,0,0
1,10000.0,1,0,1,0,0,0,0,0,0,0,0,0
6,10000.0,1,0,0,0,0,0,0,0,0,0,0,0
6,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
4,35000.0,1,0,1,0,1,1,0,0,0,0,0,0
2,10000.0,0,0,0,0,0,1,0,1,0,0,0,0
0,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
1,10000.0,0,0,1,0,1,1,0,0,0,0,0,0
2,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
1,10000.0,0,1,0,0,0,0,0,0,0,0,0,0
0,10000.0,0,1,0,0,0,1,0,1,0,0,0,0
0,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
3,10000.0,0,0,0,1,0,0,0,1,0,0,0,0
2,10000.0,0,0,1,0,0,0,0,1,0,1,0,0
3,10000.0,1,0,0,0,0,0,0,0,0,0,0,0
1,35000.0,0,0,1,0,0,1,0,0,0,0,0,0
3,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
5,35000.0,0,1,1,0,0,1,0,1,0,0,0,1
2,10000.0,0,0,1,1,1,1,0,0,0,0,0,0
6,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
0,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
6,75000.0,0,1,0,0,0,1,0,0,0,0,0,0
1,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
3,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
5,35000.0,1,0,1,0,1,1,0,1,0,0,0,0
7,75000.0,0,0,0,0,0,1,0,0,0,1,0,0
5,35000.0,0,0,1,0,0,1,0,0,0,0,0,0
2,350000.0,1,0,0,0,0,1,0,0,0,0,0,0
3,10000.0,1,1,0,0,1,0,1,0,0,0,0,0
5,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
2,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,1,0,0,0,0,0,0,0,0,0,0
1,10000.0,0,1,1,0,0,1,0,1,0,1,0,0
5,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
8,35000.0,1,0,0,0,0,0,0,0,0,0,0,0
0,10000.0,0,0,0,1,0,0,0,1,0,0,0,0
0,10000.0,0,0,0,0,0,1,0,0,0,1,0,0
6,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,0,0,0,0,1,0,0,0,1,0,1
1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
1,10000.0,1,1,1,0,0,1,0,0,0,0,1,0
13,35000.0,0,0,0,0,0,0,0,0,0,0,0,1
6,1500000.0,1,0,0,0,0,0,0,0,0,0,0,0
0,35000.0,1,1,0,0,0,1,0,0,0,0,0,0
4,10000.0,0,1,0,0,0,0,0,0,0,0,0,0
0,10000.0,1,1,0,1,0,1,0,1,0,0,0,0
0,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
7,350000.0,0,0,0,0,1,0,0,0,0,0,0,0
0,0.0,1,0,0,0,1,0,0,1,0,0,0,0
4,35000.0,0,1,0,0,0,1,0,0,0,0,0,0
1,10000.0,1,1,1,0,0,1,0,0,1,1,1,0
5,35000.0,0,0,1,0,0,1,0,0,0,0,0,0
4,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
6,35000.0,1,0,0,0,0,1,0,0,0,0,0,0
3,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
6,350000.0,1,0,0,0,0,1,0,0,0,0,0,0
1,0.0,1,1,0,0,1,1,0,0,0,0,0,0
1,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,1,0,0,1,0,1,0,1,0,0
1,10000.0,1,1,1,0,0,1,0,0,1,0,0,0
4,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
5,75000.0,0,0,1,0,0,1,0,0,0,0,0,0
0,10000.0,1,0,0,0,0,0,0,0,0,0,1,0
3,10000.0,1,1,1,0,0,1,0,0,0,1,0,1
0,3500000.0,0,1,1,0,1,0,1,1,0,1,1,0
1,10000.0,1,0,1,0,0,1,0,1,0,1,0,0
2,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
1,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
0,0.0,0,1,1,0,1,0,0,0,0,0,0,0
1,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
2,10000.0,0,1,1,0,0,1,0,0,0,1,0,1
1,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
4,10000.0,1,0,1,0,0,1,0,0,0,0,0,0
4,10000.0,0,0,0,0,0,1,0,0,0,0,0,1
3,150000.0,1,1,1,0,0,1,1,1,0,1,0,0
6,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
0,0.0,1,0,1,0,0,1,0,0,0,0,0,1
11,350000.0,0,0,0,0,0,0,0,1,0,0,0,0
4,10000.0,1,0,0,1,0,1,0,1,0,0,0,0
6,350000.0,0,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,0,1,0,0,0,0,0,1,0,0
2,10000.0,0,0,1,0,0,1,0,0,0,0,0,1
3,10000.0,0,1,1,0,0,1,0,0,0,1,0,0
3,10000.0,1,1,0,0,0,1,0,1,0,0,0,0
2,10000.0,1,0,1,0,0,1,0,0,0,0,0,0
3,10000.0,0,1,1,0,0,1,0,0,1,1,1,0
5,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
5,10000.0,0,0,0,0,0,0,0,0,0,0,0,0
5,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,0,0,0,0,0,0,0,0,1,0,0
4,35000.0,0,0,1,0,1,1,0,0,0,0,0,0
3,10000.0,0,0,0,0,0,1,0,0,0,0,0,0
2,10000.0,1,1,0,0,0,1,0,1,0,0,0,1
