Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Oct 21, 2008",0 - 20000,0,0,0,6,11,"Casual,Indie,Sports"
"Oct 12, 2017",0 - 20000,0,0,0,53,5,"Action,Indie"
"Nov 17, 2021",0 - 20000,0,0,0,0,0,"Action,Adventure,Indie,Strategy"
"Jul 23, 2020",0 - 20000,0,0,0,3,0,"Adventure,Casual,Indie"
"Feb 3, 2020",0 - 20000,0,0,0,50,8,"Adventure,Indie"
"Feb 26, 2021",50000 - 100000,68,0,0,87,49,"Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy"
"Jan 9, 2022",0 - 20000,3,0,0,21,7,"Indie,Strategy"
"May 5, 2022",0 - 20000,2,0,0,0,0,Casual
"Apr 2, 2020",0 - 20000,1,0,0,76,6,"Adventure,RPG,Simulation,Strategy"
"Nov 11, 2014",50000 - 100000,0,0,0,225,45,"Action,Adventure,Indie"
"Oct 2, 2019",20000 - 50000,5,62,0,589,212,"Indie,RPG"
"Jul 1, 2016",50000 - 100000,0,0,0,147,58,Strategy
"Aug 27, 2021",0 - 20000,0,0,0,5,0,"Casual,Indie"
"Apr 6, 2018",20000 - 50000,0,0,0,36,11,"Casual,Indie"
"Nov 25, 2020",0 - 20000,3,0,0,100,5,"Action,Adventure,Indie,RPG,Strategy,Early Access"
"Nov 17, 2010",200000 - 500000,3,64,0,349,134,Action
"Nov 6, 2020",0 - 20000,0,0,0,17,0,"Action,Casual,Simulation,Sports"
"Feb 20, 2015",100000 - 200000,5,0,0,2046,120,"Adventure,Casual,Indie,RPG"
"Jun 20, 2019",0 - 20000,4,0,0,0,0,"Casual,Indie"
"Jul 24, 2020",0 - 20000,0,0,0,3,1,"Action,Adventure,Casual,Indie,Early Access"
"Jul 28, 2016",20000 - 50000,0,0,0,61,29,"Indie,Strategy"
"Jan 27, 2017",20000 - 50000,10,0,0,29,28,"Action,Adventure,Casual,Indie"
"Nov 20, 2017",100000 - 200000,19,0,0,1490,408,"Action,Indie,Racing,Simulation"
"Mar 22, 2018",20000 - 50000,0,0,0,4,10,"Action,Adventure,Casual,Indie"
"Jul 16, 2022",20000 - 50000,319,0,0,392,57,"Massively Multiplayer,Racing,Simulation,Sports"
"Oct 10, 2020",0 - 20000,0,0,0,37,22,"Action,Indie,Simulation"
"Aug 10, 2017",20000 - 50000,0,0,0,18,50,Casual
"Feb 16, 2021",0 - 20000,0,0,0,38,4,Casual
"Jul 18, 2020",0 - 20000,0,0,0,24,5,"Casual,Indie,Simulation,Strategy"
"Jun 19, 2020",0 - 20000,19,0,0,0,0,"Adventure,Casual,Indie,RPG,Simulation"
"Mar 6, 2018",0 - 20000,0,0,0,23,18,"Casual,Indie"
"Sep 8, 2021",0 - 20000,0,0,0,11,4,Utilities
"Mar 22, 2019",0 - 20000,0,0,0,8,4,"Adventure,Indie"
"Jan 20, 2017",20000 - 50000,0,0,0,16,10,"Adventure,Indie,RPG"
"Jun 14, 2010",100000 - 200000,1,0,0,258,166,"Action,Indie"
"Jul 1, 2020",0 - 20000,0,0,0,1,0,"Action,Strategy,Early Access"
"Jun 11, 2019",0 - 20000,0,0,0,7,2,Casual
"Dec 4, 2019",0 - 20000,0,0,0,16,8,"Adventure,Casual,Indie"
"Jan 15, 2020",0 - 20000,0,0,0,35,8,"Indie,RPG"
"Mar 3, 2014",200000 - 500000,1,0,0,2014,841,"Action,Casual,Indie"
"Nov 9, 2021",50000 - 100000,2,0,0,168,39,"Action,Indie,Early Access"
"Jun 6, 2018",50000 - 100000,0,0,0,55,91,"Adventure,Casual,Indie"
"Nov 15, 2013",100000 - 200000,4,53,0,1716,628,"Action,Adventure"
"May 7, 2019",0 - 20000,0,0,0,0,0,Indie
"Oct 18, 2018",50000 - 100000,2,84,0,698,203,"Adventure,Indie,RPG"
"Jan 16, 2018",50000 - 100000,19,0,0,138,84,"Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation"
"Oct 15, 2021",0 - 20000,0,0,0,2,2,"Action,Adventure,Indie"
"Mar 26, 2018",2000000 - 5000000,2164,0,0,100620,25286,"Action,Adventure"
"Oct 5, 2017",20000 - 50000,0,0,0,2,3,"Adventure,Casual,Indie,Simulation,Strategy"
"Sep 8, 2016",0 - 20000,0,0,0,60,46,"Action,RPG"
"Jul 30, 2021",20000 - 50000,1,0,0,7,1,"Adventure,Casual"
"Oct 28, 2020",0 - 20000,0,0,0,1,0,"Adventure,Indie"
"Nov 7, 2021",0 - 20000,0,0,0,0,0,"Adventure,Indie"
"May 5, 2022",0 - 0,0,0,0,0,0,"Action,Adventure,RPG"
"Sep 12, 2021",0 - 20000,0,0,0,3,3,"Action,Adventure,RPG"
"Jan 10, 2021",0 - 20000,0,0,0,6,1,"Action,Indie,Early Access"
"Apr 25, 2016",20000 - 50000,1,0,0,69,17,"Casual,Indie"
"Mar 9, 2021",2000000 - 5000000,7571,0,0,122539,15095,Racing
"Jan 19, 2021",0 - 20000,0,0,0,2,17,"Action,Adventure,Indie,RPG"
"Oct 3, 2019",0 - 20000,0,0,0,6,4,Indie
"Jun 9, 2022",0 - 20000,0,0,0,10,0,"Adventure,Indie"
"Sep 3, 2019",20000 - 50000,0,0,0,0,1,"Action,Casual"
"Oct 9, 2015",200000 - 500000,1,0,0,283,92,"Action,Racing,Sports"
"Mar 1, 2022",0 - 20000,0,0,0,7,2,Casual
"Nov 1, 2021",20000 - 50000,16,0,0,328,253,"Action,Adventure,RPG,Simulation,Strategy,Early Access"
"Sep 26, 2019",0 - 20000,0,0,0,8,0,"Indie,Strategy"
"Jan 6, 2011",500000 - 1000000,49,89,0,9516,1114,Action
"Jun 15, 2021",20000 - 50000,0,0,0,1,0,"Action,Adventure,Indie"
"Jan 12, 2022",0 - 20000,0,0,0,17,0,"Adventure,Casual,Indie"
"Jun 5, 2020",0 - 20000,8,0,0,180,27,"Simulation,Strategy"
"Jun 11, 2021",0 - 20000,0,0,0,0,0,"Action,Casual,Indie,Early Access"
"Dec 14, 2016",500000 - 1000000,133,0,0,11739,367,"Adventure,Indie"
"Oct 29, 2019",0 - 20000,0,0,0,0,0,"Action,Indie"
"Oct 27, 2020",0 - 20000,1,0,0,51,6,"Adventure,Indie"
"Mar 29, 2021",0 - 20000,0,0,0,1,0,"Action,Indie"
"Sep 30, 2021",0 - 20000,0,0,0,7,2,"Action,Adventure,Casual,Indie,Racing,Early Access"
"Jul 14, 2018",0 - 20000,0,0,0,4,6,"Adventure,Casual,Indie,RPG,Strategy"
"Jun 19, 2022",0 - 20000,1,0,0,0,0,Action
"Jan 3, 2018",0 - 20000,0,0,0,31,13,"Action,Adventure,Indie"
"Sep 21, 2021",0 - 20000,0,0,0,0,0,"Adventure,Strategy"
"Sep 17, 2021",20000 - 50000,1,0,0,69,0,"Action,Casual,Indie,Early Access"
"May 28, 2015",20000 - 50000,0,0,0,10,26,"Adventure,Casual,Indie"
"Jul 31, 2020",0 - 20000,0,0,0,0,1,"Adventure,Indie,Simulation,Strategy"
"May 22, 2020",0 - 20000,0,0,0,15,3,"Action,Casual,Indie,Massively Multiplayer"
"Feb 8, 2019",0 - 20000,2,0,0,20,4,"Action,Casual,Indie,Strategy"
"Jun 14, 2017",0 - 20000,0,0,0,1,0,"Action,Indie"
"Nov 6, 2018",0 - 20000,0,0,0,1,2,"Adventure,Casual,Indie,Simulation,Sports,Strategy"
"Dec 15, 2020",0 - 20000,2,0,0,168,18,Adventure
"Sep 7, 2021",0 - 20000,6,0,0,102,32,"Action,Adventure,Free to Play,Indie"
"Apr 14, 2016",20000 - 50000,2,70,0,207,98,"Action,Adventure,Indie,RPG"
"Jul 14, 2022",20000 - 50000,0,0,0,12,0,"Action,Adventure,Casual,Indie"
"Jan 31, 2020",0 - 20000,0,0,0,0,0,"Indie,Simulation"
May 2020,0 - 20000,0,0,0,44,9,"Free to Play,Massively Multiplayer,RPG,Simulation,Early Access"
"Jun 30, 2020",200000 - 500000,358,0,0,4278,491,"Racing,Simulation,Sports"
"Jul 29, 2018",0 - 20000,0,0,0,35,11,"Free to Play,Simulation,Early Access"
"Jan 6, 2022",0 - 0,0,0,0,0,0,"Adventure,Casual,Indie,Simulation,Strategy"
"Jul 30, 2019",2000000 - 5000000,7507,86,0,82902,3014,"Indie,Simulation"
"Oct 17, 2021",0 - 20000,1,0,0,1,1,"Casual,Indie"
"Jun 21, 2022",0 - 20000,1,0,0,12,0,"Casual,Simulation,Sports,Strategy,Early Access"
"Mar 3, 2021",0 - 20000,1,0,0,245,70,"Adventure,Casual"
"Dec 23, 2021",20000 - 50000,0,0,0,50,0,"Adventure,Indie,RPG,Strategy"
"Jun 7, 2018",20000 - 50000,0,0,0,82,26,"Adventure,Casual,Indie"
"Sep 22, 2015",0 - 20000,0,0,0,288,28,"Action,Adventure,Indie,RPG"
"Oct 27, 2017",0 - 20000,0,0,0,61,16,"Action,Indie"
"Dec 10, 2015",0 - 20000,0,0,0,8,16,"RPG,Strategy"
"Mar 24, 2022",0 - 0,0,0,0,0,0,
"Jul 21, 2022",0 - 0,0,0,0,0,0,"Adventure,Indie"
"Oct 22, 2018",0 - 20000,0,0,0,3,0,"Casual,Indie,Strategy"
"Nov 28, 2016",50000 - 100000,0,0,0,124,132,"Free to Play,Massively Multiplayer,RPG"
"Sep 23, 2017",0 - 20000,0,0,0,8,0,"Casual,Indie"
"May 7, 2020",500000 - 1000000,0,0,0,12,6,"Action,Adventure,Casual,Indie"
"Mar 3, 2017",0 - 20000,0,0,0,17,17,"Action,Adventure,Indie,RPG"
"Feb 27, 2018",500000 - 1000000,54,0,0,4181,806,"Action,Casual"
"May 23, 2014",200000 - 500000,0,0,0,164,95,Casual
"Jun 3, 2022",0 - 20000,0,0,0,0,1,"Casual,Indie,Racing"
"Apr 17, 2021",0 - 20000,0,0,0,2,8,"Action,Indie"
"Feb 13, 2018",1000000 - 2000000,70,0,0,3075,6009,Action
"Aug 29, 2013",100000 - 200000,0,40,0,245,130,Action
"Oct 28, 2020",0 - 20000,0,0,0,21,1,"Adventure,Indie"
"Jul 15, 2021",50000 - 100000,44,87,0,2108,111,"Casual,Indie,Racing,Sports"
"Dec 4, 2015",0 - 20000,0,0,0,80,50,"Adventure,Indie,RPG,Strategy"
"Jul 19, 2016",200000 - 500000,8,0,0,2083,481,"Action,Indie"
"Feb 1, 2019",0 - 20000,3,0,0,242,27,"Adventure,Casual,Indie"
"Dec 16, 2019",0 - 20000,0,0,0,6,2,"Action,Casual,Indie,Racing,Simulation,Sports,Strategy"
"Jul 4, 2021",0 - 20000,0,0,0,53,11,"Action,Indie,Simulation"
"May 16, 2018",20000 - 50000,0,0,0,1,3,"Action,Casual,Indie"
"Jan 31, 2020",0 - 20000,0,0,0,1,0,"Adventure,Casual,Indie,RPG"
"Jan 28, 2021",1000000 - 2000000,1457,0,0,41425,3672,Indie
"Dec 29, 2020",0 - 20000,2,0,0,26,24,"Indie,Sports"
"Apr 5, 2021",0 - 20000,0,0,0,14,2,"Action,Adventure,Casual,Indie,RPG,Early Access"
"Jul 29, 2020",0 - 20000,0,0,0,68,3,"Action,Adventure,Casual,Indie,RPG"
"Sep 30, 2021",0 - 20000,0,0,0,6,0,"Action,Adventure,Casual,Indie"
"Jun 19, 2020",0 - 20000,2,0,0,79,29,"Casual,Indie,Sports"
"Mar 29, 2022",0 - 20000,0,0,0,0,0,"Action,Indie"
"Jul 11, 2016",0 - 20000,1,0,0,25,7,"Action,Indie"
"May 9, 2018",0 - 20000,0,0,0,15,1,Indie
"Nov 12, 2007",1000000 - 2000000,495,92,0,16788,1211,Action
"Nov 22, 2017",0 - 20000,0,0,0,9,4,"Action,Adventure,Indie,RPG"
"Mar 21, 2012",20000 - 50000,0,0,0,33,15,"Action,Indie"
"May 10, 2017",0 - 20000,0,0,0,72,43,Adventure
"Jul 25, 2021",0 - 20000,0,0,0,10,10,"Adventure,Indie"
"Jul 27, 2018",20000 - 50000,22,0,0,68,20,Casual
"Sep 8, 2017",100000 - 200000,0,0,0,2,0,Adventure
"Sep 28, 2021",0 - 20000,0,0,0,26,0,"Action,Indie"
"Sep 15, 2021",0 - 20000,0,0,0,16,0,"Action,Casual,Indie,Simulation"
Aug 2020,0 - 20000,0,0,0,8,0,"Adventure,Casual,Indie,Strategy,Education"
"Nov 26, 2020",0 - 20000,0,0,0,11,9,"Casual,Indie"
"Jul 6, 2022",0 - 20000,15,0,0,69,2,"Action,Early Access"
"May 11, 2018",0 - 20000,0,0,0,72,8,"Adventure,Indie,RPG"
"Nov 12, 2020",0 - 20000,0,0,0,1,0,"Action,Casual,Indie,Early Access"
"Apr 27, 2018",0 - 20000,0,0,0,1,0,"Action,Adventure,Casual,Indie"
"Feb 13, 2020",0 - 20000,0,0,0,15,11,"Indie,Racing,Simulation,Sports"
"Jan 8, 2021",0 - 20000,0,0,0,73,15,"Action,Adventure,Indie"
"Jun 11, 2020",500000 - 1000000,61,0,0,20432,1120,"Adventure,Indie"
"Feb 22, 2022",0 - 20000,3,0,0,26,3,"Action,Adventure,Casual,Indie,Racing"
"Sep 20, 2018",0 - 20000,0,0,0,11,18,"Action,Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy"
"May 20, 2020",0 - 20000,0,0,0,41,0,Casual
"Feb 20, 2020",0 - 20000,4,0,0,65,3,"Casual,Indie"
"Apr 6, 2018",0 - 20000,0,0,0,14,8,"Action,Casual,Indie,Simulation"
"Apr 28, 2015",0 - 20000,0,0,0,65,38,"Action,Adventure,Indie,Early Access"
"May 1, 2020",100000 - 200000,15,0,0,1640,145,"Adventure,Casual,Indie,RPG,Simulation,Strategy"
"May 24, 2022",0 - 20000,6,0,0,79,43,"Adventure,Indie,Simulation,Strategy,Early Access"
"Jul 3, 2018",0 - 20000,0,0,0,24,6,"Action,Adventure,Casual,Indie"
"Dec 19, 2018",0 - 20000,1,0,0,37,3,"Action,Adventure,Indie,RPG,Strategy,Early Access"
"Nov 2, 2021",0 - 20000,0,0,0,2,0,"Action,Casual,Indie"
"Jun 25, 2018",0 - 20000,3,0,0,14,11,Simulation
"Feb 16, 2020",0 - 20000,0,0,0,0,0,"Adventure,Casual,Indie,RPG"
"Jul 13, 2021",0 - 20000,0,0,0,13,5,"Action,Indie"
"Aug 8, 2020",20000 - 50000,0,0,0,10,1,"Casual,Indie"
"Nov 6, 2018",0 - 20000,0,0,0,14,2,Indie
"Feb 12, 2018",0 - 20000,0,0,0,3,3,"Action,Indie,Simulation"
"Nov 15, 2019",0 - 20000,0,0,0,2,1,"Action,Indie,RPG"
"Feb 21, 2018",0 - 20000,0,0,0,8,1,"Action,Casual,Indie,Sports"
"Jun 16, 2021",0 - 20000,0,0,0,5,0,Racing
"Jan 31, 2019",0 - 20000,4,76,0,332,33,"Action,Indie,Strategy"
"Aug 6, 2019",20000 - 50000,2,51,0,420,147,"Adventure,Indie"
"Nov 29, 2019",0 - 20000,1,0,0,33,1,"Indie,Simulation,Early Access"
"May 26, 2015",0 - 20000,0,0,0,5,2,"Action,Indie,RPG"
"May 12, 2016",0 - 20000,0,0,0,12,5,"Casual,Simulation,Strategy"
"Oct 15, 2018",0 - 20000,0,0,0,1,0,"Action,Indie,Early Access"
"Apr 13, 2022",0 - 0,0,0,0,0,0,
"May 15, 2018",0 - 20000,0,0,0,3,1,"Action,Indie"
"Mar 26, 2021",20000 - 50000,2,0,0,58,13,"Casual,Free to Play,Sports,Strategy"
"Aug 31, 2016",200000 - 500000,4,0,0,1078,440,"Action,Adventure,Free to Play,Indie"
"May 19, 2022",0 - 20000,1,0,0,0,0,"Adventure,Indie,RPG"
"Apr 5, 2018",0 - 20000,0,49,0,5,4,"Action,Indie"
"Apr 9, 2021",0 - 20000,0,0,0,5,0,"Adventure,Indie,Simulation,Strategy"
"Feb 14, 2018",50000 - 100000,91,81,0,2113,125,RPG
"Dec 13, 2016",20000 - 50000,0,0,0,2,1,Strategy
"May 16, 2021",0 - 20000,0,0,0,1,2,"Casual,Indie"
"Dec 11, 2016",0 - 20000,0,0,0,5,13,"Sexual Content,Nudity,Violent,Gore,Action,Adventure,Indie,Early Access"
"Jan 30, 2015",20000 - 50000,0,0,0,185,28,"Action,Adventure,Casual,Indie,Racing"
"Sep 18, 2020",0 - 20000,0,0,0,8,0,"Adventure,Indie"
"Nov 11, 2016",0 - 20000,0,0,0,14,17,"Adventure,Indie"
"Jul 14, 2022",0 - 20000,0,0,0,0,0,"Action,Adventure,Casual,Indie,RPG,Early Access"
"May 14, 2022",0 - 20000,1,0,0,7,9,"Action,Casual,Indie,Strategy"
"Mar 4, 2022",0 - 20000,3,0,0,115,73,"Action,Casual,Massively Multiplayer"
"Sep 28, 2021",0 - 20000,0,0,0,0,0,"Casual,Indie"
"Oct 26, 2021",0 - 0,0,0,0,0,0,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
"Jan 4, 2019",0 - 20000,0,0,0,7,8,"Adventure,Casual,Indie,Simulation,Strategy"
"Sep 1, 2019",0 - 20000,0,0,0,8,0,"Action,Adventure,Indie,RPG"
"May 13, 2022",0 - 20000,1,0,0,71,9,"Action,Adventure,Early Access"
"Mar 21, 2022",0 - 20000,0,0,0,0,1,"Action,Massively Multiplayer,Sports,Early Access"
"Oct 26, 2020",0 - 20000,0,0,0,20,1,"Action,Adventure,Simulation,Early Access"
"Sep 27, 2018",0 - 20000,1,0,63,54,29,"Casual,Indie"
"Dec 2, 2015",200000 - 500000,3,69,0,646,544,"Indie,Simulation,Strategy"
"Jan 31, 2017",20000 - 50000,1,0,0,138,22,"Adventure,Indie,Simulation"
"Jul 21, 2022",0 - 0,0,0,0,0,0,"Action,Adventure,Casual,Indie,RPG"
"Feb 4, 2020",20000 - 50000,17,72,0,900,126,"Racing,Simulation,Sports"
"Sep 30, 2015",0 - 20000,0,0,0,41,8,"Adventure,Indie"
"Mar 21, 2018",0 - 20000,0,0,0,1,0,"Adventure,Indie,Strategy"
"Mar 2, 2018",20000 - 50000,0,0,0,61,15,"Action,Adventure,Indie"
"Sep 27, 2017",0 - 20000,0,0,0,11,1,"Action,Casual,Indie,Racing"
"May 22, 2020",50000 - 100000,0,0,0,1,1,"Action,Casual,Racing"
"Nov 14, 2021",0 - 0,0,0,0,0,0,
"May 13, 2015",0 - 20000,1,0,0,94,107,Simulation
"Jul 1, 2022",0 - 0,0,0,0,0,0,"Design & Illustration,Education"
"Mar 18, 2022",0 - 20000,0,0,0,7,0,"Action,Adventure,Casual,Indie,Sports"
"Nov 16, 2020",0 - 20000,0,0,0,13,2,"Action,Casual,Indie"
"Nov 12, 2020",0 - 20000,0,0,0,16,14,"Casual,Indie,Simulation,Strategy"
"Dec 17, 2020",0 - 0,0,0,0,0,0,
"Sep 12, 2018",0 - 20000,0,0,0,5,2,"Sexual Content,Violent,Action,Adventure,Indie"
"Sep 29, 2016",20000 - 50000,0,0,0,32,9,"Action,Adventure,Indie,Strategy"
"Oct 19, 2016",20000 - 50000,0,0,0,63,114,"Indie,Simulation"
"Aug 12, 2021",0 - 20000,0,0,0,46,25,"Action,Adventure,Indie"
"May 22, 2014",20000 - 50000,0,0,0,48,26,"Action,Casual,Indie,Strategy"
"Jun 24, 2021",0 - 20000,0,0,0,25,1,"Adventure,Indie"
"Oct 13, 2016",50000 - 100000,3,0,0,388,373,"Action,Adventure,Indie"
"Sep 17, 2015",0 - 20000,2,0,0,102,47,"Indie,Simulation"
"Nov 7, 2016",50000 - 100000,0,0,0,546,67,"Adventure,Casual,Indie,Simulation"
"Apr 11, 2017",0 - 20000,0,0,0,5,3,"Casual,Indie,Strategy"
"Nov 14, 2021",0 - 20000,0,0,0,0,0,"Adventure,Casual,Indie,Strategy"
"May 24, 2021",0 - 20000,0,0,0,7,3,"Adventure,Casual,Indie,Simulation"
"Oct 20, 2016",0 - 20000,0,0,0,41,8,"Adventure,Indie"
"Apr 30, 2013",100000 - 200000,0,0,0,225,128,"Action,Casual,Indie,Strategy"
"Jan 18, 2022",0 - 0,0,0,0,0,0,"Action,Casual"
"Dec 27, 2016",0 - 20000,0,0,0,23,8,"Simulation,Sports"
"Nov 1, 2018",200000 - 500000,0,0,0,12,11,"Adventure,Casual,Indie,Strategy"
"Dec 25, 2021",0 - 20000,0,0,0,0,0,"Casual,Indie"
"Jul 9, 2018",20000 - 50000,16,68,0,770,316,"Adventure,RPG"
"Sep 7, 2017",200000 - 500000,49,0,0,1802,518,RPG
"Apr 6, 2016",0 - 20000,0,0,0,34,2,"Action,Adventure,Casual,Indie"
"May 11, 2018",0 - 20000,0,0,0,10,30,"Adventure,Indie"
"Jul 16, 2020",0 - 20000,0,0,0,8,3,"Action,Indie"
"Aug 6, 2018",0 - 20000,0,0,0,2,0,"Adventure,Casual"
"May 5, 2021",0 - 20000,0,0,0,1,0,"Action,Casual,Indie"
"Feb 16, 2017",50000 - 100000,15,52,0,671,404,Strategy
"Oct 5, 2016",0 - 20000,0,0,0,27,5,"Indie,Strategy"
"Jan 10, 2021",0 - 20000,0,0,0,0,0,"Casual,Indie"
"Aug 24, 2006",20000 - 50000,2,82,0,293,73,Racing
"May 16, 2020",0 - 20000,0,0,0,1,1,"Action,Casual,Indie,Strategy"
"Nov 29, 2020",0 - 20000,4,0,0,116,2,"Adventure,Casual,Indie"
"Jul 16, 2020",0 - 20000,0,0,0,24,0,"Adventure,Casual,Indie,Simulation,Strategy"
"Aug 16, 2017",0 - 20000,3,0,0,152,25,"Action,Adventure,Indie,RPG,Simulation"
"Feb 21, 2017",20000 - 50000,0,0,0,9,9,Strategy
"May 25, 2022",0 - 0,0,0,0,0,0,"Adventure,Free to Play,Indie,RPG"
"Dec 17, 2020",0 - 20000,0,0,0,3,0,"Adventure,Casual,Indie"
"May 24, 2012",500000 - 1000000,395,0,0,3942,419,"Casual,Indie,Strategy"
"Apr 21, 2017",0 - 20000,0,0,0,10,0,"Action,Casual,Indie,Sports"
"May 5, 2021",0 - 0,0,0,0,0,0,"Action,Adventure"
"Dec 22, 2014",0 - 20000,0,0,0,1,0,"Animation & Modeling,Design & Illustration,Utilities"
"May 27, 2021",20000 - 50000,0,0,0,5,1,"Casual,Indie,Simulation"
"Jun 28, 2018",0 - 20000,3,0,0,66,27,"Adventure,Casual,Strategy"
"Apr 22, 2022",0 - 20000,0,0,0,0,0,"Action,Casual,Indie,Simulation,Early Access"
"Jan 5, 2015",20000 - 50000,0,0,0,42,119,"Action,Casual,Indie"
"Oct 13, 2017",0 - 20000,0,0,0,10,5,"Action,Indie"
"Jan 17, 2019",500000 - 1000000,17,0,0,5491,477,"Indie,Simulation"
"Nov 26, 2021",0 - 20000,0,0,0,1,0,"Action,Casual,Indie,Early Access"
"Feb 24, 2022",0 - 20000,0,0,0,14,0,"Casual,Indie,Early Access"
"May 12, 2016",0 - 20000,0,0,0,85,8,"Action,Indie"
"Mar 8, 2017",0 - 20000,0,0,0,47,14,"Casual,Indie"
"Mar 24, 2016",20000 - 50000,0,0,0,237,65,"Action,Adventure,Casual,Indie"
"Aug 8, 2019",0 - 20000,0,0,0,20,6,"RPG,Strategy"
"Apr 21, 2010",0 - 20000,3,0,0,68,7,"Adventure,Casual"
"Jun 16, 2017",0 - 20000,0,0,0,8,3,"Adventure,Indie,RPG"
"May 31, 2019",0 - 20000,0,0,0,2,0,"Action,Adventure,Indie,Early Access"
"Jun 28, 2022",0 - 0,0,0,0,0,0,"Adventure,Free to Play,Indie,RPG"
"Nov 25, 2021",0 - 20000,0,0,0,25,5,"Adventure,Indie"
"Dec 19, 2016",0 - 20000,0,0,0,1,2,"Action,Adventure,Casual,Indie,RPG,Sports"
"May 17, 2021",0 - 20000,0,0,0,24,0,"Action,Adventure,Indie"
"Jan 31, 2018",0 - 20000,0,0,0,35,2,"Adventure,Indie"
"Feb 28, 2020",0 - 20000,0,0,0,5,0,"Action,Adventure,Indie"
"May 4, 2021",0 - 20000,0,0,0,14,3,"Adventure,Casual,Indie"
"May 7, 2019",0 - 20000,0,0,0,57,3,"Adventure,Free to Play,Indie"
"Dec 14, 2017",0 - 20000,0,0,0,35,5,"Adventure,Free to Play"
"Dec 25, 2020",0 - 20000,0,0,0,47,0,"Adventure,Casual,Indie"
"Dec 12, 2019",0 - 20000,0,0,0,83,1,Casual
"May 17, 2021",0 - 20000,0,0,0,59,7,"Casual,Indie,Simulation"
"Jan 6, 2020",0 - 20000,0,0,0,22,16,"Action,Adventure,Indie,Strategy"
"Nov 5, 2015",0 - 20000,0,0,0,25,5,"Adventure,Casual,Simulation,Strategy"
"Feb 13, 2017",0 - 20000,0,0,0,17,3,"Action,Indie,Early Access"
"Apr 23, 2021",0 - 0,0,0,0,0,0,
"Jan 19, 2021",0 - 20000,0,0,0,6,14,"Action,Adventure,Indie,Early Access"
"Apr 18, 2020",0 - 20000,0,0,0,2,0,"Adventure,Racing"
"Dec 21, 2020",0 - 20000,0,0,0,1,5,"Adventure,Casual,Indie,Simulation"
"Sep 15, 2014",200000 - 500000,5,0,0,1426,109,"Action,Indie"
"Aug 7, 2021",0 - 20000,0,0,0,0,0,"Action,Adventure,Casual,Indie"
"Dec 8, 2020",0 - 20000,0,0,0,1,2,Casual
"Jan 18, 2022",0 - 0,0,0,0,0,0,
"Aug 28, 2018",0 - 20000,0,0,0,18,0,"Action,Adventure,Indie"
"Oct 15, 2021",0 - 0,0,0,0,0,0,
"Aug 19, 2021",0 - 20000,0,0,0,3,0,Indie
"Mar 18, 2022",0 - 20000,0,0,0,5,0,Casual
"Jun 17, 2022",0 - 20000,0,0,0,11,1,"Action,Casual,Indie,Simulation,Strategy"
"Jul 14, 2019",50000 - 100000,6,0,0,29,13,Game Development
"Oct 21, 2021",0 - 0,0,0,0,0,0,"Action,Casual,Free to Play,Indie,Massively Multiplayer,Early Access"
"Jul 18, 2016",0 - 20000,0,0,0,14,0,"Adventure,Casual"
"Apr 13, 2020",0 - 20000,0,0,0,3,5,"Adventure,Indie,RPG,Strategy"
"May 11, 2018",0 - 20000,0,0,0,5,0,"Action,Casual,Indie"
"Jun 23, 2022",0 - 20000,5,0,0,0,0,Simulation
"Nov 1, 2008",50000 - 100000,1,0,0,95,7,"Strategy,RPG,Indie"
"Jul 19, 2018",20000 - 50000,11,0,0,421,54,"Sexual Content,Adventure,RPG,Strategy"
"Jan 28, 2020",0 - 20000,0,0,0,54,15,"Adventure,Casual,Strategy"
"Feb 22, 2012",100000 - 200000,0,0,0,250,71,"Adventure,Indie"
"Jun 28, 2017",0 - 20000,0,0,0,2,0,"Casual,Indie,Sports"
"Oct 8, 2021",0 - 0,0,0,0,0,0,
"Jun 6, 2019",0 - 20000,0,0,0,15,0,"Action,Indie,Early Access"
"Dec 11, 2020",0 - 20000,1,0,0,16,7,"Action,Indie,Racing"
"Mar 21, 2012",20000 - 50000,0,0,0,106,74,"Action,Indie"
"Feb 20, 2017",0 - 20000,2,0,0,35,42,Casual
"Apr 18, 2022",0 - 20000,0,0,0,3,0,"Indie,Massively Multiplayer,Simulation,Strategy"
"Jun 30, 2016",0 - 20000,0,0,0,9,1,"Casual,Indie,Racing,Early Access"
"May 31, 2020",0 - 20000,0,0,0,1,0,"Action,Adventure,Indie,Strategy"
"Dec 4, 2017",0 - 20000,0,0,0,2,0,"Action,Adventure,Indie"
"Jul 15, 2022",0 - 20000,1,0,0,12,0,"Action,Indie"
"Aug 3, 2016",0 - 20000,2,0,0,52,32,"Action,Casual,Indie,Simulation"
"May 19, 2022",0 - 0,0,0,0,0,0,"Casual,Free to Play,Indie,Simulation"
"Oct 28, 2016",50000 - 100000,0,0,0,57,72,"Action,Casual"
"Aug 25, 2017",20000 - 50000,0,0,0,351,19,"Free to Play,Indie,RPG"
"Mar 27, 2017",0 - 20000,0,0,0,9,8,"Nudity,Violent,Action,Adventure,Indie"
