Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Oct 26, 2021",0 - 20000,0,0,0,1,0,"Casual,Simulation,Early Access"
"Nov 15, 2018",0 - 20000,0,0,0,8,10,"Casual,Indie,Simulation"
"May 5, 2020",0 - 20000,0,0,0,200,36,"Adventure,Indie,Simulation"
"Sep 7, 2011",200000 - 500000,6,74,0,3127,296,"Action,Indie,Racing,Strategy"
"Jun 17, 2021",0 - 20000,0,0,0,5,0,"Indie,Simulation"
"Oct 17, 2017",0 - 20000,0,0,0,3,1,"Indie,Massively Multiplayer,Strategy"
"Mar 24, 2016",100000 - 200000,3,0,0,691,128,"Action,Adventure,Casual,Racing,RPG,Sports,Strategy"
"Mar 20, 2019",0 - 20000,0,0,0,14,0,"Action,Indie"
"Nov 24, 2021",0 - 20000,2,0,0,324,12,"Action,Indie"
"Jun 3, 2022",0 - 0,0,0,0,0,0,"Action,Free to Play,Indie"
"Apr 8, 2019",0 - 20000,0,0,0,20,10,"Action,Adventure,Casual,Indie"
"Dec 16, 2021",0 - 20000,0,0,0,7,0,"Adventure,Casual,Indie,RPG"
"Jul 15, 2020",0 - 20000,1,0,0,40,6,"Indie,Simulation,Strategy"
"Oct 30, 2020",0 - 20000,0,0,0,4,4,Action
"Jul 8, 2022",0 - 20000,1,0,0,3,0,"Casual,Indie,Strategy"
"Jan 11, 2017",0 - 20000,0,0,0,16,5,"Action,Indie,Strategy"
"Jul 26, 2016",0 - 20000,0,0,0,58,41,Adventure
"May 16, 2022",200000 - 500000,197,0,0,3761,345,"Adventure,Indie,RPG,Early Access"
"Dec 11, 2015",50000 - 100000,0,0,0,65,53,Indie
"Dec 6, 2020",50000 - 100000,0,0,0,5,0,"Action,Casual,Free to Play,Indie"
"Jun 7, 2018",0 - 20000,0,0,0,16,12,"Casual,Indie,Sports"
"Aug 12, 2020",0 - 20000,0,0,0,1,0,"Action,Adventure,Casual,Indie"
"Feb 6, 2020",20000 - 50000,1,0,0,54,2,"Utilities,Game Development"
"Mar 21, 2019",20000 - 50000,4,0,0,1037,39,"Adventure,Casual,Indie,Simulation"
"Sep 25, 2015",0 - 20000,0,0,0,13,20,"Action,Indie,Simulation"
"Aug 24, 2020",0 - 20000,0,0,0,1,2,"Action,Adventure,Casual,Indie"
"Aug 29, 2017",20000 - 50000,0,0,0,42,81,"Violent,Gore,Action"
"Sep 18, 2019",0 - 20000,0,0,0,8,11,"Action,Adventure,Simulation"
"Apr 2, 2018",0 - 20000,0,0,0,78,1,"Casual,Indie"
"Aug 8, 2018",0 - 20000,0,0,0,0,0,"Casual,Indie"
"Aug 24, 2017",0 - 20000,0,0,0,41,22,"Action,Indie,Simulation"
"Sep 22, 2021",0 - 20000,0,0,0,4,1,"Action,Adventure,Indie"
